"linked_id","versiontags","newest_version"
2964,"[""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2886,"[]",NULL
2622,"[""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2189,"[""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1760,"[""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2577,"[]",NULL
2110,"[""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2033,"[]",NULL
1703,"[""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1315,"[""2.42.0"", ""2.42.2"", ""2.42.3"", ""2.42.4"", ""2.44.0"", ""2.44.1"", ""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2797,"[""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2608,"[""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1896,"[""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1711,"[]",NULL
3010,"[""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2672,"[""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2940,"[""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1301,"[]",NULL
1518,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2208,"[]",NULL
2779,"[""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
